checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1001434585,2021-03-01,3.3,"",Vilnius,Folk Lager,Lager - Vienna,5.0,Tanker Brewery,Estonia,Fresh Friendly Family
1001606230,2021-03-02,1.0,"","",Radler Grapefruit Taste,Shandy / Radler,7.5,Rinkuškiai,Lithuania,Norfa
1001611305,2021-03-02,2.3,"","",Alaus Kelias,Traditional Ale,5.5,Rinkuškiai,Lithuania,Vilnius Tech Park
1001611893,2021-03-02,3.8,"","",NEIPA,IPA - New England,5.5,Sakiškių Alus,Lithuania,Alaus Biblioteka
1001633995,2021-03-02,3.5,"",Vilnius,Kauklių Dvaro,Rye Beer,5.5,UAB Joalda,Lithuania,Viršuliškės
1001635081,2021-03-02,3.8,"","",Honey Laku (Cellar Series),Porter - Imperial / Double,10.5,Põhjala,Estonia,Alaus Biblioteka
1001643184,2021-03-02,2.5,"","",Sirvenos Nefiltruotas,Other,6.0,Biržų Alus ,Lithuania,Norfa
1001755331,2021-03-03,3.5,"",Vilnius,Abstraction,Pale Ale - American,5.5,Tanker Brewery,Estonia,čiulbantis kryžius
1001781462,2021-03-03,4.0,"","","#DIPA",IPA - Imperial / Double,8.7,To Øl,Denmark,Alaus Biblioteka
1001857615,2021-03-04,4.0,"","",Öö XO (Cellar Series),Porter - Imperial / Double Baltic,11.5,Põhjala,Estonia,Alaus Biblioteka
1001962537,2021-03-04,3.5,"","","Porteris, Juodasis Alus",Porter - Baltic,6.0,Aukštaitijos Bravorai,Lithuania,Norfa
1001991337,2021-03-04,5.0,"","",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Bar Bukowski
1002015308,2021-03-04,4.3,"","",Highway,IPA - New England,5.9,Browar Nepomucen,Poland,manoalus.lt
1002043039,2021-03-04,3.8,"","",31,Pilsner - Other,5.2,Panevėžio Alus,Lithuania,Gero alaus parduotuvė
1002204439,2021-03-05,3.3,"",Vilnius,Oh My Wai-Iti,IPA - New England,6.0,Tanker Brewery,Estonia,Žvėryno pub
1002247271,2021-03-05,4.0,"","",Curious Creek,Sour - Fruited Berliner Weisse,3.2,Wander Beyond Brewing,England,Dominikonų gatvė
1002256548,2021-03-05,3.5,"","",Hip Hops,IPA - American,6.0,Beerbliotek,Sweden,Dominikonų gatvė
1002261405,2021-03-05,4.3,"","",Tamsusis,Dark Ale,5.8,Vilkmerges Alus,Lithuania,Courtyard by Marriott Vilnius City Center
1002276121,2021-03-05,4.3,"","",Hoppymilk Milkshake Guava,Pale Ale - Milkshake,4.7,Stamm Brewing,Russia,Dominikonų gatvė
1002287518,2021-03-05,4.0,"","",Ant Denio Auga Klevas,Porter - Other,4.8,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Karaliski Riesutai
1002298595,2021-03-05,0.0,"","",Tassie,Pale Ale - New Zealand,5.0,Trzech Kumpli,Poland,manoalus.lt
1002299040,2021-03-05,0.0,"","",Dead Phone Calling,Stout - Imperial / Double Pastry,10.0,Maltgarden,Poland,manoalus.lt
1002299499,2021-03-05,4.8,"","",Iceman Interview,Stout - Imperial / Double Pastry,10.0,Maltgarden,Poland,manoalus.lt
1002309406,2021-03-05,3.5,"","",Latgales Dunkel,Lager - Euro Dark,5.6,Latgales Alus,Latvia,Vilniaus alus
1002317029,2021-03-05,3.8,"","",Herr Axolotl Pink Guava,Sour - Fruited Berliner Weisse,3.8,AleBrowar,Poland,Dominikonų gatvė
1002364697,2021-03-05,4.3,"","",Raspberry Porter,Porter - Other,7.5,Volfas Engelman,Lithuania,Neste Oil Pilaitės
1002803862,2021-03-06,3.0,"","",Gubernija Royal Baltic Porter,Porter - Baltic,6.4,Gubernija,Lithuania,Alaus Biblioteka
1002804717,2021-03-06,3.5,"","",Õhtu,Porter - American,5.5,Põhjala,Estonia,Alaus Biblioteka
1002805252,2021-03-06,2.0,"","",Visa-Ginnes,Stout - Milk / Sweet,6.0,Bear and Boar,Lithuania,Alaus Biblioteka
1002811373,2021-03-06,3.5,"",Vilnius,ROPA,Pale Ale - New Zealand,5.6,Tikras Alus,Lithuania,Litexpo Restaurant
1002822084,2021-03-06,4.0,"","",Blanc Select,Wheat Beer - Other,4.7,Kalnapilis Brewery,Lithuania,Courtyard by Marriott Vilnius City Center
1002823206,2021-03-06,3.8,"","",Neon City,Stout - Imperial / Double,10.9,Sori Brewing,Estonia,Alaus Biblioteka
1002835125,2021-03-06,3.8,"","",Öö XO (Cellar Series),Porter - Imperial / Double Baltic,11.5,Põhjala,Estonia,Alaus Biblioteka
1002853804,2021-03-06,4.0,"","",Kalnapilis Original,Lager - Pale,5.0,Kalnapilis Brewery,Lithuania,Courtyard by Marriott Vilnius City Center
1002856423,2021-03-06,3.5,"",Vilnius,Rabarada,Sour - Fruited,6.5,Tanker Brewery,Estonia,Tid Bit
1002884828,2021-03-06,2.0,"",Vilnius,Pale Iggy's,Pale Ale - American,5.6,Kalamaja Pruulikoda,Estonia,LUCKYSERVICE
1002916832,2021-03-06,4.3,"",Vilnius,Black Jam (Cellar Series),Porter - Imperial / Double Baltic,11.9,Põhjala,Estonia,Taškas
1002939237,2021-03-06,3.3,"","",Hoppy Tree Friends,Lager - Pale,5.0,Bear and Boar,Lithuania,Dominikonų gatvė
1002965649,2021-03-06,4.0,"","",Video Nasty,IPA - New England,7.1,Dry & Bitter Brewing Company,Denmark,Dominikonų gatvė
1003401998,2021-03-07,3.0,"",Vilnius,NewsPepper Chilli & Mango IPA,Chilli / Chile Beer,5.6,Gletcher Brewery (Глетчер),Russia,Don Simon Picos namai
1003406321,2021-03-07,3.3,"",Vilnius,Oišy,Kölsch,4.5,Kuro Aparatūra,Lithuania,Pavėsis
1003407710,2021-03-07,3.0,"",Vilnius,Friels First Press Vintage Cider,Cider - Traditional,7.4,Aston Manor Cider,England,Neries pakrante Vingio parke
1003545565,2021-03-07,4.0,"",Vilnius,Spura,IPA - New England,6.3,Ziemeļu Enkurs,Latvia,Chebros Picerija
1003781510,2021-03-08,3.3,"",Vilnius,Herkenrode Abbey Cister,Belgian Blonde,6.5,Brouwerij Cornelissen,Belgium,čiulbantis kryžius
1003945040,2021-03-09,3.3,"",Vilnius,TaruK,Pilsner - Other,5.0,Tanker Brewery,Estonia,LKS Kostiumų Nuoma
1004011560,2021-03-09,4.3,"","",Chewy Chewy Chewy,Pale Ale - International,5.5,Omnipollo,Sweden,Alaus Biblioteka
